top_level_path	size_bytes
.agents	12074
.gitignore	126
01_environment	1465086379
02_training_dataset	333447049476
03_prediction_network	232169826
04_training	2016230427
05_inference	71657
06_leap_to_wuji2_final_pipeline	623318681
07_wuji2_network_3p3r_sim	54144226
08_dual_arm_scene_layout	271744201
PROJECT_CONTEXT_FOR_GPT_CLEANUP_PLANNING.txt	37820
README.md	9063
__pycache__	6550
config	7619
docs	26048
src	172104
tools_validate.py	9053
trimesh	14424982
TOTAL_FILES_ONLY_SNAPSHOT_EXCLUDED	338124520312
